year,grid,position,points,driver
2018,3,1.0,25.0,20
2018,1,1.0,25.0,20
2018,6,1.0,25.0,817
2018,2,1.0,25.0,1
2018,1,1.0,25.0,1
2018,1,1.0,25.0,817
2018,4,1.0,25.0,830
2018,2,1.0,25.0,20
2018,14,1.0,25.0,1
2018,3,1.0,25.0,1
2018,2,1.0,25.0,8
2018,2,1.0,25.0,830
2018,1,2.0,18.0,1
2018,3,2.0,18.0,822
2018,6,2.0,18.0,8
2018,2,2.0,18.0,822
2018,2,2.0,18.0,20
2018,4,2.0,18.0,830
2018,3,2.0,18.0,8
2018,4,2.0,18.0,20
2018,1,2.0,18.0,8
2018,2,2.0,18.0,830
2018,1,2.0,18.0,822
2018,18,2.0,18.0,830
2018,5,2.0,18.0,830
2018,3,2.0,18.0,20
2018,2,3.0,15.0,8
2018,9,3.0,15.0,1
2018,8,3.0,15.0,815
2018,5,3.0,15.0,830
2018,3,3.0,15.0,1
2018,3,3.0,15.0,830
2018,6,3.0,15.0,8
2018,6,3.0,15.0,20
2018,3,3.0,15.0,8
2018,7,3.0,15.0,830
2018,4,3.0,15.0,822
2018,3,3.0,15.0,20
2018,1,3.0,15.0,1
2018,4,3.0,15.0,8
2018,6,3.0,15.0,830
2018,8,4.0,12.0,817
2018,5,4.0,12.0,842
2018,4,4.0,12.0,1
2018,1,4.0,12.0,20
2018,3,4.0,12.0,20
2018,4,4.0,12.0,8
2018,6,4.0,12.0,817
2018,5,4.0,12.0,817
2018,5,4.0,12.0,154
2018,4,4.0,12.0,822
2018,4,4.0,12.0,830
2018,12,4.0,12.0,817
2018,19,4.0,12.0,822
2018,2,4.0,12.0,20
2018,15,4.0,12.0,817
2018,5,4.0,12.0,20
2018,3,4.0,12.0,1
2018,11,4.0,12.0,817
2018,10,5.0,10.0,4
2018,6,5.0,10.0,825
2018,5,5.0,10.0,830
2018,9,5.0,10.0,832
2018,6,5.0,10.0,817
2018,5,5.0,10.0,822
2018,4,5.0,10.0,1
2018,3,5.0,10.0,20
2018,8,5.0,10.0,825
2018,7,5.0,10.0,807
2018,2,5.0,10.0,822
2018,4,5.0,10.0,815
2018,5,5.0,10.0,8
2018,19,5.0,10.0,830
2018,4,5.0,10.0,8
2018,3,5.0,10.0,822
2018,4,6.0,8.0,830
2018,7,6.0,8.0,807
2018,13,6.0,8.0,844
2018,7,6.0,8.0,825
2018,6,6.0,8.0,839
2018,5,6.0,8.0,8
2018,9,6.0,8.0,825
2018,11,6.0,8.0,839
2018,11,6.0,8.0,807
2018,6,6.0,8.0,154
2018,6,6.0,8.0,842
2018,3,6.0,8.0,839
2018,8,6.0,8.0,839
2018,6,6.0,8.0,817
2018,18,6.0,8.0,817
2018,8,6.0,8.0,20
2018,2,6.0,8.0,20
2018,11,6.0,8.0,832
2018,7,7.0,6.0,807
2018,13,7.0,6.0,4
2018,12,7.0,6.0,4
2018,9,7.0,6.0,832
2018,10,7.0,6.0,842
2018,2,7.0,6.0,822
2018,16,7.0,6.0,815
2018,10,7.0,6.0,839
2018,10,7.0,6.0,815
2018,9,7.0,6.0,825
2018,5,7.0,6.0,154
2018,14,7.0,6.0,815
2018,11,7.0,6.0,4
2018,7,7.0,6.0,844
2018,9,7.0,6.0,815
2018,11,7.0,6.0,832
2018,9,7.0,6.0,844
2018,8,7.0,6.0,844
2018,15,8.0,4.0,822
2018,14,8.0,4.0,838
2018,1,8.0,4.0,20
2018,10,8.0,4.0,840
2018,8,8.0,4.0,4
2018,11,8.0,4.0,807
2018,9,8.0,4.0,832
2018,7,8.0,4.0,832
2018,13,8.0,4.0,4
2018,15,8.0,4.0,839
2018,11,8.0,4.0,4
2018,9,8.0,4.0,825
2018,12,8.0,4.0,832
2018,5,8.0,4.0,825
2018,5,8.0,4.0,154
2018,10,8.0,4.0,815
2018,15,8.0,4.0,838
2018,8,8.0,4.0,154
2018,14,8.0,4.0,815
2018,11,9.0,2.0,838
2018,17,9.0,2.0,828
2018,9,9.0,2.0,832
2018,16,9.0,2.0,838
2018,15,9.0,2.0,815
2018,20,9.0,2.0,830
2018,8,9.0,2.0,839
2018,12,9.0,2.0,807
2018,18,9.0,2.0,844
2018,7,9.0,2.0,825
2018,13,9.0,2.0,828
2018,5,9.0,2.0,832
2018,10,9.0,2.0,842
2018,10,9.0,2.0,840
2018,13,9.0,2.0,844
2018,6,9.0,2.0,839
2018,11,9.0,2.0,839
2018,20,9.0,2.0,843
2018,10,9.0,2.0,828
2018,10,9.0,2.0,825
2018,7,9.0,2.0,154
2018,9,10.0,1.0,832
2018,8,10.0,1.0,839
2018,11,10.0,1.0,825
2018,19,10.0,1.0,843
2018,14,10.0,1.0,844
2018,8,10.0,1.0,832
2018,13,10.0,1.0,844
2018,8,10.0,1.0,844
2018,20,10.0,1.0,828
2018,12,10.0,1.0,815
2018,17,10.0,1.0,843
2018,10,10.0,1.0,154
2018,13,10.0,1.0,828
2018,12,10.0,1.0,845
2018,10,10.0,1.0,807
2018,8,10.0,1.0,815
2018,13,10.0,1.0,832
2018,16,10.0,1.0,828
2018,20,10.0,1.0,842
2018,13,10.0,1.0,825
2018,12,11.0,0.0,815
2018,10,11.0,0.0,832
2018,12,11.0,0.0,839
2018,18,11.0,0.0,828
2018,18,11.0,0.0,840
2018,16,11.0,0.0,828
2018,16,11.0,0.0,842
2018,10,11.0,0.0,154
2018,12,11.0,0.0,842
2018,17,11.0,0.0,838
2018,5,11.0,0.0,825
2018,8,11.0,0.0,843
2018,14,11.0,0.0,832
2018,15,11.0,0.0,844
2018,14,11.0,0.0,828
2018,9,11.0,0.0,154
2018,7,11.0,0.0,842
2018,11,11.0,0.0,839
2018,16,11.0,0.0,843
2018,15,11.0,0.0,4
2018,14,12.0,0.0,839
2018,19,12.0,0.0,844
2018,8,12.0,0.0,815
2018,17,12.0,0.0,842
2018,20,12.0,0.0,843
2018,9,12.0,0.0,815
2018,20,12.0,0.0,154
2018,17,12.0,0.0,838
2018,9,12.0,0.0,832
2018,19,12.0,0.0,840
2018,8,12.0,0.0,832
2018,13,12.0,0.0,807
2018,16,12.0,0.0,845
2018,18,12.0,0.0,838
2018,12,12.0,0.0,807
2018,20,12.0,0.0,828
2018,19,12.0,0.0,842
2018,17,12.0,0.0,840
2018,15,12.0,0.0,832
2018,16,12.0,0.0,843
2018,18,13.0,0.0,844
2018,16,13.0,0.0,154
2018,14,13.0,0.0,838
2018,15,13.0,0.0,825
2018,17,13.0,0.0,828
2018,19,13.0,0.0,825
2018,11,13.0,0.0,825
2018,15,13.0,0.0,828
2018,17,13.0,0.0,845
2018,14,13.0,0.0,842
2018,19,13.0,0.0,838
2018,18,13.0,0.0,839
2018,17,13.0,0.0,840
2018,20,13.0,0.0,807
2018,15,13.0,0.0,842
2018,10,13.0,0.0,828
2018,6,13.0,0.0,843
2018,14,13.0,0.0,845
2018,19,13.0,0.0,845
2018,9,13.0,0.0,842
2018,20,13.0,0.0,840
2018,13,14.0,0.0,840
2018,20,14.0,0.0,840
2018,18,14.0,0.0,840
2018,3,14.0,0.0,822
2018,19,14.0,0.0,845
2018,12,14.0,0.0,838
2018,10,14.0,0.0,815
2018,20,14.0,0.0,843
2018,14,14.0,0.0,840
2018,18,14.0,0.0,845
2018,16,14.0,0.0,842
2018,19,14.0,0.0,815
2018,11,14.0,0.0,843
2018,9,14.0,0.0,842
2018,16,14.0,0.0,4
2018,18,14.0,0.0,4
2018,15,14.0,0.0,840
2018,14,14.0,0.0,843
2018,20,14.0,0.0,838
2018,18,14.0,0.0,838
2018,16,15.0,0.0,843
2018,18,15.0,0.0,845
2018,16,15.0,0.0,845
2018,20,15.0,0.0,154
2018,11,15.0,0.0,838
2018,18,15.0,0.0,154
2018,19,15.0,0.0,828
2018,15,15.0,0.0,838
2018,5,15.0,0.0,830
2018,9,15.0,0.0,844
2018,14,15.0,0.0,828
2018,18,15.0,0.0,838
2018,18,15.0,0.0,828
2018,8,15.0,0.0,154
2018,14,15.0,0.0,840
2018,19,15.0,0.0,838
2018,16,15.0,0.0,825
2018,18,15.0,0.0,839
2018,19,15.0,0.0,845
2018,6,16.0,0.0,154
2018,12,16.0,0.0,815
2018,20,16.0,0.0,828
2018,5,16.0,0.0,830
2018,13,16.0,0.0,839
2018,13,16.0,0.0,845
2018,15,16.0,0.0,838
2018,16,16.0,0.0,4
2018,2,16.0,0.0,1
2018,8,16.0,0.0,154
2018,11,16.0,0.0,4
2018,20,16.0,0.0,845
2018,8,16.0,0.0,817
2018,11,16.0,0.0,825
2018,7,16.0,0.0,815
2018,17,16.0,0.0,845
2018,4,16.0,0.0,817
2018,18,16.0,0.0,154
2018,14,16.0,0.0,845
2018,17,16.0,0.0,842
2018,5,17.0,0.0,825
2018,11,17.0,0.0,843
2018,10,17.0,0.0,154
2018,4,17.0,0.0,817
2018,4,17.0,0.0,8
2018,17,17.0,0.0,840
2018,18,17.0,0.0,845
2018,19,17.0,0.0,840
2018,19,17.0,0.0,843
2018,16,17.0,0.0,832
2018,18,17.0,0.0,840
2018,15,17.0,0.0,840
2018,6,17.0,0.0,8
2018,19,17.0,0.0,817
2018,17,17.0,0.0,843
2018,11,17.0,0.0,832
2018,14,17.0,0.0,840
2018,8,17.0,0.0,154
2018,1,17.0,0.0,817
2018,17,17.0,0.0,4
2018,9,17.0,0.0,839
2018,20,18.0,0.0,842
2018,2,18.0,0.0,8
2018,17,18.0,0.0,842
2018,14,18.0,0.0,807
2018,10,18.0,0.0,154
2018,14,18.0,0.0,844
2018,14,18.0,0.0,4
2018,13,18.0,0.0,815
2018,7,18.0,0.0,817
2018,15,18.0,0.0,828
2018,1,18.0,0.0,20
2018,16,18.0,0.0,838
2018,12,18.0,0.0,844
2018,13,18.0,0.0,4
2018,16,18.0,0.0,825
2018,13,18.0,0.0,845
2018,10,18.0,0.0,844
2018,19,18.0,0.0,840
2018,12,18.0,0.0,828
2018,17,19.0,0.0,828
2018,15,19.0,0.0,830
2018,19,19.0,0.0,844
2018,7,19.0,0.0,839
2018,12,19.0,0.0,842
2018,15,19.0,0.0,843
2018,12,19.0,0.0,843
2018,11,19.0,0.0,839
2018,1,19.0,0.0,822
2018,9,19.0,0.0,844
2018,12,19.0,0.0,845
2018,7,19.0,0.0,830
2018,15,19.0,0.0,4
2018,16,19.0,0.0,843
2018,19,19.0,0.0,845
2018,17,19.0,0.0,842
2018,16,19.0,0.0,807
2018,6,19.0,0.0,839
2018,8,19.0,0.0,832
2018,13,19.0,0.0,807
2018,4,19.0,0.0,8
2018,19,20.0,0.0,845
2018,4,20.0,0.0,817
2018,15,20.0,0.0,843
2018,11,20.0,0.0,845
2018,16,20.0,0.0,807
2018,7,20.0,0.0,4
2018,17,20.0,0.0,840
2018,14,20.0,0.0,842
2018,10,20.0,0.0,807
2018,0,20.0,0.0,843
2018,20,20.0,0.0,817
2018,17,20.0,0.0,844
2018,20,20.0,0.0,807
2018,6,20.0,0.0,154
2018,9,20.0,0.0,839
2018,20,20.0,0.0,843
2018,12,20.0,0.0,825
2018,12,20.0,0.0,4
2018,6,20.0,0.0,828
2019,2,1.0,26.0,822
2019,3,1.0,25.0,1
2019,2,1.0,25.0,1
2019,1,1.0,25.0,822
2019,2,1.0,26.0,1
2019,1,1.0,25.0,1
2019,2,1.0,26.0,830
2019,1,1.0,25.0,844
2019,3,1.0,25.0,20
2019,3,1.0,25.0,822
2019,1,1.0,25.0,830
2019,1,1.0,26.0,1
2019,1,2.0,18.0,1
2019,4,2.0,18.0,822
2019,1,2.0,18.0,822
2019,2,2.0,18.0,1
2019,4,2.0,18.0,20
2019,1,2.0,18.0,20
2019,2,2.0,18.0,822
2019,1,2.0,18.0,844
2019,20,2.0,18.0,20
2019,1,2.0,19.0,830
2019,3,2.0,18.0,1
2019,3,2.0,18.0,822
2019,2,2.0,18.0,20
2019,5,2.0,18.0,1
2019,6,2.0,18.0,842
2019,2,2.0,18.0,830
2019,4,3.0,15.0,830
2019,1,3.0,16.0,844
2019,3,3.0,15.0,20
2019,2,3.0,15.0,822
2019,3,3.0,15.0,844
2019,3,3.0,15.0,822
2019,14,3.0,15.0,826
2019,5,3.0,15.0,20
2019,4,3.0,15.0,822
2019,2,3.0,16.0,1
2019,1,3.0,15.0,844
2019,4,3.0,16.0,1
2019,6,3.0,15.0,822
2019,3,3.0,15.0,830
2019,20,3.0,15.0,832
2019,3,4.0,12.0,20
2019,5,4.0,12.0,830
2019,4,4.0,12.0,830
2019,3,4.0,12.0,830
2019,6,4.0,13.0,822
2019,9,4.0,12.0,20
2019,5,4.0,12.0,842
2019,15,4.0,12.0,840
2019,4,4.0,12.0,844
2019,2,4.0,13.0,20
2019,5,4.0,12.0,817
2019,2,4.0,12.0,1
2019,9,4.0,12.0,830
2019,6,4.0,12.0,848
2019,1,4.0,13.0,844
2019,4,4.0,13.0,844
2019,8,4.0,12.0,8
2019,20,4.0,12.0,822
2019,5,5.0,10.0,844
2019,2,5.0,10.0,20
2019,4,5.0,10.0,844
2019,8,5.0,11.0,844
2019,8,5.0,11.0,842
2019,9,5.0,10.0,830
2019,7,5.0,11.0,20
2019,4,5.0,10.0,1
2019,4,5.0,10.0,830
2019,7,5.0,10.0,832
2019,8,5.0,10.0,832
2019,17,5.0,10.0,848
2019,6,5.0,10.0,807
2019,5,5.0,10.0,822
2019,0,5.0,10.0,848
2019,5,5.0,10.0,848
2019,6,5.0,10.0,848
2019,12,5.0,10.0,841
2019,4,5.0,10.0,20
2019,7,6.0,8.0,825
2019,9,6.0,8.0,846
2019,6,6.0,9.0,842
2019,5,6.0,8.0,815
2019,6,6.0,8.0,842
2019,9,6.0,8.0,832
2019,4,6.0,8.0,817
2019,6,6.0,8.0,832
2019,5,6.0,8.0,846
2019,13,6.0,8.0,832
2019,16,6.0,8.0,848
2019,7,6.0,8.0,815
2019,8,6.0,8.0,848
2019,6,6.0,8.0,848
2019,5,6.0,8.0,832
2019,2,6.0,8.0,844
